FECHA_CORTE,FECHA_MUESTRA,CUENTA,ESTACION,UNIDAD_MEDIDA,TIPO_ESTACION,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,CAUDAL07H,PROMEDIO24H,MAXIMA24H,PRECIP24H
20220906,20220713,RESERVORIO POECHOS,ENTRADA,m3/s,PRESA,Piura,Sullana ,Lancones,200604,0,57.31,0,0
20220906,20220713,RIO QUIROZ,PARAJE GRANDE,m3/s,HIDROLOGICA,Piura,Sullana ,Suyo,200210,7.9,7.9,7.9,0
20220906,20220713,RIO CHIRA,ARDILLA,m3/s,HIDROLOGICA,Piura,Sullana ,Lancones,200604,0,57.31,0,0
20220906,20220713,RIO CHIRA,EL CIRUELO,m3/s,HIDROLOGICA,Piura,Sullana ,Suyo,200210,47,50.66,60,0
20220906,20220713,RIO MACARA,PUENTE INTERNACIONAL,m3/s,HIDROLOGICA,Piura,Sullana ,Suyo,200210,10.7,8.32,10.7,0
20220906,20220712,PRESA EJIDOS,CANAL PRINCIPAL,m3/s,HIDROMETRICA,Piura,Sullana ,Castilla,200104,10.64,10.94,0,0
20220906,20220712,PRESA EJIDOS,PTE. SANCHEZ CERRO,m3/s,HIDROLOGICA,Piura,Sullana ,Castilla,200104,0,0,0,0
20220906,20220712,PRESA EJIDOS,COTE EMBALSE,msnm,PRESA,Piura,Sullana ,Castilla,200104,30.27,0,30.4,0
20220906,20220712,RIO PIURA,EL PAPAYO,m3/s,HIDROLOGICA,Piura,Sullana ,Castilla,200104,0,0,0,0
20220906,20220712,RIO PIURA,TAMBOGRANDE,m3/s,HIDROLOGICA,Piura,Sullana ,Tambo Grande,200114,0,0,0,0
20220906,20220712,RIO PIURA,PTE. NACARA,m3/s,HIDROMETRICA,Piura,Sullana ,Chulucanas,200401,0,0,0,0
20220906,20220712,PRESA SULLANA,CANAL NORTE,m3/s,HIDROLOGICA,Piura,Sullana ,Sullana,200601,7.5,7.8,0,0
20220906,20220712,PRESA SULLANA,RIO CHIRA(SULLANA),m3/s,HIDROLOGICA,Piura,Sullana ,Sullana,200601,45,77.08,180,0
20220906,20220712,PRESA SULLANA,COTA EMBALSE,msnm,PRESA,Piura,Sullana ,Sullana,200601,36.02,0,36.23,0
20220906,20220712,PUNTOS DE CONTROL CD,CURUMUY,m3/s,HIDROMETRICA,Piura,Sullana ,Piura,200101,0,12.88,0,0
20220906,20220712,PUNTOS DE CONTROL CD,CHECK(KM 29+900),m3/s,HIDROMETRICA,Piura,Sullana ,Sullana,200601,25.1,24.07,25.1,0
20220906,20220712,SALIDA DE RESERVERIO,TOTAL SALIDA,m3/s,PRESA,Piura,Sullana ,Lancones,200604,0,84.1,0,0
20220906,20220712,SALIDA DE RESERVERIO,EVAPORACION,m3/s,PRESA,Piura,Sullana ,Lancones,200604,0,3.39,0,0
20220906,20220712,SALIDA DE RESERVERIO,C. HUAYPIRA,m3/s,HIDROMETRICA,Piura,Sullana ,Lancones,200604,0.11,0.11,0.11,0
20220906,20220712,SALIDA DE RESERVERIO,C. DERIVACION,m3/s,HIDROMETRICA,Piura,Sullana ,Lancones,200604,35.59,35.59,35.68,0
20220906,20220712,SALIDA DE RESERVERIO,C. MIGUEL CHECA,m3/s,HIDROMETRICA,Piura,Sullana ,Lancones,200604,8.05,8.05,8.05,0
20220906,20220712,SALIDA DE RESERVERIO,TOTAL RIO CHIRA,m3/s,HIDROLOGICA,Piura,Sullana ,Lancones,200604,36.95,36.95,36.95,0
20220906,20220712,SALIDA DE RESERVERIO,RIO CHIRA - TUNEL,m3/s,HIDROLOGICA,Piura,Sullana ,Lancones,200604,36.95,36.95,36.95,0
