FECHA_CORTE;FECHA_MUESTRA;CUENTA;ESTACION;UNIDAD_MEDIDA;TIPO_ESTACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;CAUDAL07H;PROMEDIO24H;MAXIMA24H;PRECIP24H
20221106;20221013;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;3.58;0;0
20221106;20221013;SALIDA DE RESERVERIO;C. HUAYPIRA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;0.42;0.42;0.42;0
20221106;20221013;SALIDA DE RESERVERIO;C. DERIVACION;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;35.4;35.85;36;0
20221106;20221013;SALIDA DE RESERVERIO;C. MIGUEL CHECA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;14.01;14.01;14.01;0
20221106;20221013;SALIDA DE RESERVERIO;TOTAL RIO CHIRA;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;5;21.99;0
20221106;20221013;SALIDA DE RESERVERIO;RIO CHIRA - TUNEL;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;5;21.99;0
20221106;20221013;SALIDA DE RESERVERIO;RIO CHIRA - ALIVIADERO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;0;0;0
20221106;20221013;RESERVORIO POECHOS;INCREMENTO VOL;mmc;PRESA;Piura;Ayabaca ;Lancones;200604;0;-3.1;0;0
20221106;20221013;RESERVORIO POECHOS;VOLUMEN;mmc;PRESA;Piura;Ayabaca ;Lancones;200604;280.7;0;283.8;0
20221106;20221013;RESERVORIO POECHOS;COTA REPRESA;msnm;PRESA;Piura;Ayabaca ;Lancones;200604;101.06;0;101.14;0
20221106;20221013;RESERVORIO POECHOS;ENTRADA;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;22.97;0;0
20221106;20221013;RIO QUIROZ;PARAJE GRANDE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;200210;0.5;0.5;0.5;0
20221106;20221013;RIO CHIRA;ARDILLA;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;22.97;0;0
20221106;20221013;RIO CHIRA;EL CIRUELO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;200210;36;52;74;0
20221106;20221013;RIO MACARA;PUENTE INTERNACIONAL;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;200210;5.1;4.4;5.1;0
20221106;20221012;PRESA EJIDOS;CANAL PRINCIPAL;m3/s;HIDROMETRICA;Piura;Ayabaca ;Castilla;200104;11.01;12.59;0;0
20221106;20221012;PRESA EJIDOS;PTE. SANCHEZ CERRO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Castilla;200104;0;0;0;0
20221106;20221012;PRESA EJIDOS;COTE EMBALSE;msnm;PRESA;Piura;Ayabaca ;Castilla;200104;29.79;0;30;0
20221106;20221012;RIO PIURA;EL PAPAYO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Castilla;200104;0;0;0;0
20221106;20221012;RIO PIURA;TAMBOGRANDE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Tambo Grande;200114;0;0;0;0
20221106;20221012;RIO PIURA;PTE. nACARA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Chulucanas;200401;0;0;0;0
20221106;20221012;PRESA SULLANA;CANAL NORTE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Sullana;200601;19.2;19.18;0;0
20221106;20221012;PRESA SULLANA;RIO CHIRA(SULLANA);m3/s;HIDROLOGICA;Piura;Ayabaca ;Sullana;200601;5;5;5;0
20221106;20221012;PRESA SULLANA;COTA EMBALSE;msnm;PRESA;Piura;Ayabaca ;Sullana;200601;36.98;0;36.98;0
20221106;20221012;PUNTOS DE CONTROL CD;CURUMUY;m3/s;HIDROMETRICA;Piura;Ayabaca ;Piura;200101;0;15.9;0;0
20221106;20221012;PUNTOS DE CONTROL CD;CHECK(KM 29+900);m3/s;HIDROMETRICA;Piura;Ayabaca ;Sullana;200601;24.2;24.4;26.2;0
20221106;20221012;SALIDA DE RESERVERIO;TOTAL SALIDA;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;60.51;0;0
20221106;20221012;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;3.59;0;0
20221106;20221012;SALIDA DE RESERVERIO;C. HUAYPIRA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;0.42;0.42;0.42;0
20221106;20221012;SALIDA DE RESERVERIO;C. DERIVACION;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;36;37.5;38;0
20221106;20221012;SALIDA DE RESERVERIO;C. MIGUEL CHECA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;14.01;14.01;14.01;0
20221106;20221012;SALIDA DE RESERVERIO;TOTAL RIO CHIRA;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;5;21.99;0
